# Start Position | End Position | Favorability of Route # 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [77, 53] | 0.3534791508352917 
[77, 53] | [77, 52] | 0.3531166098563515 
[77, 52] | [78, 52] | 0.36002983137588024 
[78, 52] | [79, 52] | 0.36196611623920294 
[79, 52] | [80, 52] | 0.36377167990263953 
[80, 52] | [81, 52] | 0.3677161021564148 
[81, 52] | [82, 52] | 0.3697306126649417 
[82, 52] | [83, 52] | 0.4117116083509608 
[83, 52] | [83, 53] | 0.4124669673544985 
[83, 53] | [83, 54] | 0.4130402428178291 
[83, 54] | [83, 55] | 0.41258751609996314 
[83, 55] | [84, 55] | 0.41259477841192477 
[84, 55] | [85, 55] | 0.41182653373902345 
[85, 55] | [86, 55] | 0.4129624401064987 
[86, 55] | [87, 55] | 0.41369860779388834 
[87, 55] | [87, 56] | 0.41526173278104933 
[87, 56] | [88, 56] | 0.416184617451021 
[88, 56] | [89, 56] | 0.41809429925064223 
[89, 56] | [90, 56] | 0.4194174588189679 
[90, 56] | [91, 56] | 0.4216828506143586 
[91, 56] | [92, 56] | 0.4233056116066206 
[92, 56] | [93, 56] | 0.4258827387699746 
[93, 56] | [94, 56] | 0.5283082169959228 
[94, 56] | [94, 57] | 0.5303182537102675 
[94, 57] | [95, 57] | 0.5309149586740026 
[95, 57] | [96, 57] | 0.5303384097846592 
[96, 57] | [97, 57] | 0.5306101491498508 
[97, 57] | [98, 57] | 0.5295403858478595 
[98, 57] | [99, 57] | 0.5296244915704293 
[99, 57] | [99, 58] | 0.5300599244385754 
[99, 58] | [100, 58] | 0.5316231683709278 
[100, 58] | [101, 58] | 0.5323430861011579 
[101, 58] | [101, 59] | 0.5342152336701169 
[101, 59] | [102, 59] | 0.5351603857583322 
[102, 59] | [102, 60] | 0.5373637881445251 
[102, 60] | [102, 61] | 0.5388672530822878 
[102, 61] | [103, 61] | 0.5417920956391169 
[103, 61] | [104, 61] | 0.5440919195181739 
[104, 61] | [105, 61] | 0.5477029546995146 
[105, 61] | [106, 61] | 0.5576289478558549 
[106, 61] | [107, 61] | 0.5619674655440526 
[107, 61] | [108, 61] | 0.8778615795703418 
[108, 61] | [108, 62] | 0.887573822712284 
[108, 62] | [108, 63] | 0.8931622881755993 
[108, 63] | [108, 64] | 0.900259613996114 
[108, 64] | [108, 65] | 0.9047689318312375 
[108, 65] | [108, 66] | 0.9109016704808048 
[108, 66] | [109, 66] | 0.9148804266542839 
[109, 66] | [109, 67] | 0.9202743201276103 
[109, 67] | [110, 67] | 0.9252553218858118 
[110, 67] | [110, 68] | 0.930309086871457 
[110, 68] | [111, 68] | 0.9329617876555967 
[111, 68] | [112, 68] | 0.9373752082170105 
[112, 68] | [112, 69] | 0.9393893449035778 
[112, 69] | [112, 70] | 0.9522560563540324 
[112, 70] | [112, 71] | 0.9564129364077153 
[112, 71] | [113, 71] | 0.9573857570506406 
[113, 71] | [113, 72] | 0.9598586789080155 
[113, 72] | [113, 73] | 0.9662766985910065 
[113, 73] | [114, 73] | 0.969628487016975 
[114, 73] | [114, 74] | 0.9683483943775822 
[114, 74] | [114, 75] | 0.968363133283673 
[114, 75] | [114, 76] | 0.9685389360758546 
[114, 76] | [114, 77] | 1.386846544404312 
[114, 77] | [115, 77] | 1.3962834217941804 
[115, 77] | [115, 78] | 1.4079200503716678 
[115, 78] | [116, 78] | 1.4135434844023236 
[116, 78] | [117, 78] | 1.4241772874767542 
[117, 78] | [117, 79] | 1.4288741777179355 
[117, 79] | [118, 79] | 1.4385031422933645 
[118, 79] | [118, 80] | 1.4423335226029432 
[118, 80] | [119, 80] | 1.4514138804066863 
[119, 80] | [119, 81] | 1.4548041621893588 
[119, 81] | [120, 81] | 1.4635835144289515 
[120, 81] | [120, 82] | 1.4664086954390347 
[120, 82] | [120, 83] | 1.4743567884419013 
[120, 83] | [121, 83] | 1.4751391639060847 
[121, 83] | [121, 84] | 2.101385418157909 
[121, 84] | [121, 85] | 2.1340605291404557 
[121, 85] | [121, 86] | 2.1647538224948466 
[121, 86] | [121, 87] | 2.195632085639338 
[121, 87] | [121, 88] | 2.2205629978429435 
[121, 88] | [121, 89] | 2.2372719554768765 
